location,area,population,density,exports,
"Ciudad de Buenos Aires",203,3063728,15092.3,426,
"Buenos Aires",307571,17020012,55.3,28134,
"Catamarca",102602,404433,3.9,1596,
"Chaco",99633,1168165,11.7,602,
"Chubut",224686,587956,2.6,3148
"Córdoba",165321,3645321,22.0,10635,
"Corrientes",88199,1090938,12.4,230,
"Entre Ríos",78781,1347508,17.1,1908,
"Formosa",72066,589916,8.2,40,
"Jujuy",53219,745252,14.0,456,
"La Pampa",143440,349299,2.4,378,
"La Rioja",89680,378047,4.2,281,
"Mendoza",148827,1928304,13.0,1862,
"Misiones",29801,1218771,40.9,536,
"Neuquén",94078,637913,6.8,353,
"Río Negro",203013,718646,3.5,670,
"Salta",155488,1370283,8.8,1332,
"San Juan",89651,755994,8.4,2470,
"San Luis",76748,489225,6.4,735,
"Santa Cruz",243943,338542,1.4,1857,
"Santa Fe",133007,3453674,26.0,17804,
"Santiago del Estero",136351,948172,7.0,1082,
"Tierra del Fuego",21571,160720,7.5,443,
"Tucumán",22524,1633992,72.5,1031,
