name,population
Tbilisi,"1049498"
Kutaisi ,"178338"
Batumi ,"121806"
Sokhumi ,"81546"
Zugdidi,"73006"
Rust'avi,"50000"
P'ot'i ,"47149"
Gori ,"46676"
Ts'khinvali ,"30000"
Samtredia ,"28748"
Khashuri ,"27811"
Senak'i ,"27752"
Stantsiya Novyy Afon ,"26636"
Zestap'oni ,"25891"
Telavi ,"21800"
Ozurgeti ,"20636"
Marneuli,"18755"
Kobuleti ,"18600"
Tqvarch'eli ,"17847"
Akhaltsikhe ,"17298"
Abkhazia, 243564
Ajaria, 336077
Guria, 113000
Imereti, 536052
Kakheti, 405000
Kvemo Kartli, 423986
Mtskheta-Mtianeti, 94370 
Racha-Lechkhumi-Kvemo Svaneti, 31927
Samegrelo-Zemo Svaneti, 331145
Samtskhe-Javakheti, 160262
Shida Kartli, 264633
Gali, 7605
Gudauta, 8514
Gulripshi, 3910
Ochamchire, 18700
Sokhumi, 62914
Batumi, 121806
Keda, 1510
Khulo, 1007
Kobuleti, 16546
Shuakhevi, 797
Chokhatauri, 1815
Lanchkhuti, 8000
Ozurgeti, 14785
Bagdati, 3707
Kharagauli, 3215
Khoni, 22687
Kutaisi, 178338
Sachkhere, 46846
Samtredia, 29694
Terjola, 5700
Tkibuli, 31132
Vani, 4600
Zestaponi, 24208
Dedoplis Tskaro, 5940
Gurjaani, 8024
Kvareli, 7739
Lagodekhi, 51066
Sagarejo, 59212
Signagi, 2146
Telavi, 19629
Bolnisi, 767000
Dmanisi, 2661
Gardabani, 10753
Marneuli, 20211
Tsalka, 2326
Akhalgori, 2500
Kazbegi, 1326
Mtskheta, 7940
Tianeti, 2479
Ambrolauri, 2047
Lentekhi, 947
Oni, 6130
Tsageri, 10387
Abasha, 4941
Khobi, 4242
Martvili, 4425
Mestia, 1973
Senaki, 52112
Tsalenjikha, 8900
Zugdidi, 42998
Akhaltsikhe, 17903
Aspindza, 2793
Borjomi, 10546
Ninotsminda, 5144
Gori, 48143
Kareli, 45000
Kaspi, 13423
Khashuri, 26135
Akhaltsikhe, 17903
Kharagauli, 3215
Kareli, 45000
Akhalkalaki, 8295
Chkhorotsku, 5400
Java, 1500
Dusheti, 6167
Tetri Tskaro, 3093
Chiatura, 19587

