state,abbreviation,population,productivity
Alabama,AL,4863300,1.1791
Alaska,AK,,
Arizona,AZ,6931071,1.3847
Arkansas,AR,2988248,1.3705
California,CA,39250017,1.7979
Colorado,CO,5540545,1.0325
Connecticut,CT,3576452,1.3209
Delaware,DE,952065,1.4345
Florida,FL,20612439,1.6304
Georgia,GA,10310371,1.3891
Hawaii,HI,,
Idaho,ID,1683140,1.4285
Illinois,IL,12801539,1.5297
Indiana,IN,6633053,1.422
Iowa,IA,3134693,1.5297
Kansas,KS,2907289,1.0124
Kentucky,KY,4436974,0.9403
Louisiana,LA,4681666,0.9904
Maine,ME,1331479,1.3877
Maryland,MD,6016447,1.2457
Massachusetts,MA,6811779,1.1458
Michigan,MI,9928300,1.1058
Minnesota,MN,5519952,1.2359
Mississippi,MS,2988726,1.1306
Missouri,MO,6093000,1.0212
Montana,MT,1042520,0.8145
Nebraska,NE,1907116,1.1619
Nevada,NV,2940058,0.964
New Hampshire,NH,1334795,1.0204
New Jersey,NJ,8944469,1.2831
New Mexico,NM,2081015,0.8925
New York,NY,19745289,1.1327
North Carolina,NC,10146788,1.3554
North Dakota,ND,757952,1.0278
Ohio,OH,11614373,1.2075
Oklahoma,OK,3923561,0.7693
Oregon,OR,4093465,1.3154
Pennsylvania,PA,12784227,1.0601
Rhode Island,RI,1056426,1.4192
South Carolina,SC,4961119,1.1247
South Dakota,SD,865454,1.076
Tennessee,TN,6651194,0.7648
Texas,TX,27862596,0.8873
Utah,UT,3051217,0.9638
Vermont,VT,624594,1.0762
Virginia,VA,8411808,0.966
Washington,WA,7288000,1.1457
West Virginia,WV,1831102,0.5777
Wisconsin,WI,5778708,1.113
Wyoming,WY,585501,0.5712
