province,population,area
Almería,706672,8775
Cádiz,1239435,7436
Córdoba,788219,13771
Granada,912938,12647
Huelva,518930,10128
Jaén,643484,13496
Málaga,1630615,7308
Sevilla,1939527,14036
Huesca,219702,15636
Teruel,135562,14810
Zaragoza,953486,17274
Cantabria,580295,5321
Albacete,390032,14926
Ciudad Real,502578,19813
Cuenca,198718,17140
Guadalajara,253310,12214
Toledo,686841,15370
Ávila,160700,8050
Burgos,358171,14292
León,468316,15581
Palencia,163390,8052
Salamanca,333603,12350
Segovia,333603,6921
Soria,88903,10306
Valladolid,521130,8110
Zamora,177404,10561
Barcelona,5576037,7728
Girona,755716,5910
Lleida,432384,12173
Tarragona,791693,6303
Ceuta,84959,20
Melilla,86120,28
Madrid,6507184,8028
Navarra,643234,10391
Alicante,1825332,5817
Castellón,575470,6632
Valencia,2540707,10806
Badajoz,679884,21766
Cáceres,400036,19868
A Coruña,1120294,7950
Lugo,333634,9856
Ourense,311680,7273
Pontevedra,942731,4495
Baleares,1115999,4992
Las Palmas,1100480,4066
Santa Cruz de Tenerife,1007641,3381
La Rioja,315381,5045
Álava,326574,3037
Guipúzcoa,719282,1909
Vizcaya,1148302,2217
Asturias,1034960,10604
Murcia,1470273,11313













































