district,residents
Appenzell Ausserrhoden,8910
Bettingen,294
SchaffhausenZ,15860
Diessenhofen,1318
Steckborn,961
Bischofszell,1580
Courtelary,187
Moutier,2106
La Neuveville,659
Nidau,1765
Erlach,232
Aarwangen,754
Burgdorf,2483
Signau,182
Trachselwald,33
Fraubrunnen,317
Konolfingen,545
Laupen,464
Schwarzenburg,445
Seftigen,158
Büren,149
Riehen,5316
Aarberg,543
Affoltern,9807
Andelfingen,4038
Bülach,41601
Dielsdorf,24356
Hinwil,18727
Horgen,33765
Meilen,22834
Pfäffikon,11403
Uster,32787
Winterthur,34303
Dietikon,31553
Zürich,130164
Biel,25944
Seeland,9199
Oberaargau,11810
Emmental,8598
Bern,74024
Thun,10798
Obersimmental,1521
Saanen,1520
Frutigen,1648
Niedersimmental,1640
Interlaken,4130
Oberhasli,4130
Luzern,37734
Hochdorf,15752
Sursee,9927
Willisau,8242
Entlebuch,2478
Uri,4295
Einsiedeln,2366
Gersau,504
Höfe,7473
Küssnacht,2725
March,9811
Schwyz,9387
Obwalden,5486
Nidwalden,6035
Glarus,9497
Zug,34139
La Broye,5974
La Glâne,4486
La Gruyère,13990
La Sarine,29699
Lac,7487
Sense,4639
La Veveyse,3552
Gäu,4614
Thal,2823
Bucheggberg,541
Dorneck,3671
Gösgen,5589
Wasseramt,12068
Lebern,10142
Olten,14179
Solothurn,3528
Thierstein,2046
Basel,69044
Arlesheim,35341
Laufen,3664
Liestal,16828
Sissach,5337
Waldenburg,2464
Oberklettgau,662
Reiat,1778
Schaffhausen,15860
Schleitheim,375
Stein,1410
Unterklettgau,795
Hinterland,4186
Mittelland,2345
Vorderland,2379
Appenzell Innerrhoden,1773
Sankt Gallen,31317
Rorschach,11622
Rheintal,19707
Werdenberg,11835
Sarganserland,8241
See-Gaster,11784
Toggenburg,7875
Wil,17342
Albula,1509
Bernina,446
Hinterrhein,2027
Imboden,3761
Inn,1620
Landquart,3750
Maloja,5793
Moësa,1863
Plessur,8164
Prättigau/Davos,5047
Surselva,2638
Aarau,17938
Baden,40411
Bremgarten,18186
Brugg,12163
Kulm,10376
Laufenburg,6065
Lenzburg,13547
Muri,6007
Rheinfelden,12076
Zofingen,17062
Zurzach,9919
Arbon,14904
Frauenfeld,13415
Kreuzlingen,18835
Münchwilen,8338
Weinfelden,10839
Bellinzona,13969
Blenio,568
Leventina,2610
Locarno,16016
Lugano,48515
Mendrisio,13107
Riviera,4043
Vallemaggia,719
Aigle,16427
Broye-Vully,12666
Gros-de-Vaud,7698
Jura-North Vaudois,23080
Lausanne,66389
Lavaux-Oron,15830
Morges,21973
Nyon,34308
Ouest lausannois,33800
Pays-d'Enhaut,31694
Brig,3961
Conthey,6470
Entremont,3671
Goms,510
Hérens,1273
Leuk,1836
Martigny,12325
Monthey,12325
Raron,1011
Saint-Maurice,2923
Sierre,14769
Sion,11379
Visp,6279
Boudry,9095
La Chaux-de-Fonds,12211
Le Locle,3423
Neuchâtel,15784
Val-de-Ruz,2863
Val-de-Travers,2313
Genève,196883
Delémont,6788
Les Franches-Montagnes,1001
Porrentruy,2862
